时间,关键词,计划名称,计划ID,消费,展现量,点击率,点击量,店铺新客支付金额,平均点击成本,平均千次展示费用,新客消耗,新客曝光,新客点击,新客点击率,新客平均点击成本,新客平均千次展示费用,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日支付转化率,7日总支付金额,7日总支付ROI,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,搜索组件点击量,搜索组件点击转化率,平均搜索后阅读笔记篇数,搜后阅读量
合计1065条记录,-,-,-,1208.95,30755,12.89%,3964,7299.0,0.3,39.31,1197.92,30582,3950,12.92%,0.3,39.17,44,27.48,7637.0,6.32,43,28.12,1.08%,7299.0,6.04,994,1.22,222,5.45,28,5,12,5,4,54,22.39,961,24.24%,22,30,0,0.0%,0.0,0
2026-05-17,三文鱼去腥,三文鱼爆款购买潜在需求,186737237,0.00,3,0.0%,0,0.0,0.0,0.0,0.0,3,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼吃法,三文鱼爆款购买潜在需求,186737237,0.00,1,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼家常做法,三文鱼爆款购买潜在需求,186737237,1.05,5,20.0%,1,0.0,1.05,210.0,1.05,5,1,20.0%,1.05,210.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,1,100.0%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼怎么保存,三文鱼爆款购买潜在需求,186737237,12.53,325,16.31%,53,0.0,0.24,38.55,12.53,323,53,16.41%,0.24,38.79,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,11,1.14,0,0.0,0,0,0,0,1,1,12.53,10,18.87%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼怎么做不腥,三文鱼爆款购买潜在需求,186737237,0.00,1,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼怎么做好吃,三文鱼爆款购买潜在需求,186737237,0.00,3,0.0%,0,0.0,0.0,0.0,0.0,3,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼怎么煎不腥,三文鱼搜索关键词_复制,186136724,0.00,1,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼怎么煎好吃又嫩,三文鱼爆款购买潜在需求,186737237,0.00,4,0.0%,0,0.0,0.0,0.0,0.0,4,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0
2026-05-17,三文鱼扒怎么做好吃,三文鱼爆款购买潜在需求,186737237,0.00,6,0.0%,0,0.0,0.0,0.0,0.0,6,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0
