时间,商品名称,spuId,消费,展现量,点击率,点击量,店铺新客支付金额,平均点击成本,平均千次展示费用,新客消耗,新客曝光,新客点击,新客点击率,新客平均点击成本,新客平均千次展示费用,商品1日支付订单量,商品1日支付订单成本,商品1日支付金额,商品1日支付ROI,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日支付转化率,7日总支付金额,7日总支付ROI,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,搜索组件点击量,搜索组件点击转化率,平均搜索后阅读笔记篇数,搜后阅读量,店铺新客首购及30日复购支付订单量,店铺新客首购及30日复购支付金额,店铺新客首购及30日复购支付ROI
合计95条记录,-,-,1271.61,32823,12.9%,4233,7604.0,0.3,38.74,1258.57,32569,4209,12.92%,0.3,38.64,44,28.9,7069.0,5.56,48,26.49,7942.0,6.25,47,27.06,1.11%,7604.0,5.98,1054,1.21,238,5.34,31,5,14,6,4,60,21.19,1026,24.24%,27,32,0,0.0%,0.0,0,47,7604.0,6.04
2026-05-17,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,25.49,699,12.88%,90,0.0,0.28,36.47,25.49,696,90,12.93%,0.28,36.62,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,19,1.34,8,3.19,0,0,0,0,1,1,25.49,17,18.89%,0,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-17,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,15.76,511,17.22%,88,128.0,0.18,30.84,15.76,511,88,17.22%,0.18,30.84,1,15.76,128.0,8.12,1,15.76,128.0,8.12,1,15.76,1.14%,128.0,8.12,32,0.49,7,2.25,1,0,0,1,0,2,7.88,30,34.09%,1,4,0,0.0%,0.0,0,1,128.0,8.12
2026-05-17,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.30,23,21.74%,5,0.0,0.06,13.04,0.3,23,5,21.74%,0.06,13.04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,2,0.15,1,0.3,0,0,0,0,0,0,0.0,2,40.0%,0,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-18,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,9.73,649,12.94%,84,68.0,0.12,14.99,9.73,646,84,13.0%,0.12,15.06,1,9.73,68.0,6.99,1,9.73,68.0,6.99,1,9.73,1.19%,68.0,6.99,16,0.61,10,0.97,0,0,0,0,0,0,0.0,15,17.86%,0,0,0,0.0%,0.0,0,1,68.0,6.99
2026-05-18,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,25.82,634,18.61%,118,138.0,0.22,40.73,25.82,630,118,18.73%,0.22,40.98,1,25.82,69.0,2.67,2,12.91,138.0,5.34,2,12.91,1.69%,138.0,5.34,42,0.61,9,2.87,0,0,1,0,0,1,25.82,41,34.75%,1,0,0,0.0%,0.0,0,2,138.0,5.34
2026-05-18,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.04,24,4.17%,1,0.0,0.04,1.67,0.04,24,1,4.17%,0.04,1.67,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-19,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,52.34,604,16.06%,97,736.0,0.54,86.66,52.34,598,97,16.22%,0.54,87.53,2,26.17,736.0,14.06,2,26.17,736.0,14.06,2,26.17,2.06%,736.0,14.06,23,2.28,3,17.45,0,0,0,0,0,0,0.0,21,21.65%,0,0,0,0.0%,0.0,0,2,736.0,14.06
2026-05-19,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,24.49,635,17.64%,112,197.0,0.22,38.57,24.25,634,111,17.51%,0.22,38.25,2,12.25,197.0,8.04,2,12.25,197.0,8.04,2,12.25,1.79%,197.0,8.04,37,0.66,4,6.12,0,0,0,0,0,0,0.0,35,31.25%,0,2,0,0.0%,0.0,0,2,197.0,8.12
2026-05-19,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.10,15,13.33%,2,0.0,0.05,6.67,0.1,14,2,14.29%,0.05,7.14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-20,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,28.06,718,13.37%,96,118.0,0.29,39.08,26.66,711,94,13.22%,0.28,37.5,1,28.06,118.0,4.21,1,28.06,118.0,4.21,1,28.06,1.04%,118.0,4.21,25,1.12,7,4.01,2,1,2,0,1,6,4.68,26,27.08%,1,1,0,0.0%,0.0,0,1,118.0,4.43
2026-05-20,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,33.50,664,15.51%,103,197.0,0.33,50.45,33.36,661,102,15.43%,0.33,50.47,2,16.75,197.0,5.88,2,16.75,197.0,5.88,2,16.75,1.94%,197.0,5.88,34,0.99,2,16.75,1,0,0,0,1,2,16.75,34,33.01%,0,1,0,0.0%,0.0,0,2,197.0,5.91
2026-05-20,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.05,21,4.76%,1,0.0,0.05,2.38,0.05,20,1,5.0%,0.05,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,1,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-21,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,48.78,774,13.7%,106,378.0,0.46,63.02,45.11,766,105,13.71%,0.43,58.89,1,48.78,378.0,7.75,1,48.78,378.0,7.75,1,48.78,0.94%,378.0,7.75,32,1.52,7,6.97,1,0,0,0,0,1,48.78,31,29.25%,1,0,0,0.0%,0.0,0,1,378.0,8.38
2026-05-21,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,20.02,692,15.61%,108,0.0,0.19,28.93,20.02,688,108,15.7%,0.19,29.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,25,0.8,3,6.67,0,0,0,0,0,0,0.0,25,23.15%,1,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-21,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.40,16,18.75%,3,0.0,0.13,25.0,0.4,16,3,18.75%,0.13,25.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-22,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,23.39,562,14.77%,83,0.0,0.28,41.62,23.39,560,83,14.82%,0.28,41.77,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,14,1.67,3,7.8,1,0,0,0,0,1,23.39,13,15.66%,0,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-22,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,31.71,309,14.56%,45,325.0,0.7,102.62,31.71,308,45,14.61%,0.7,102.95,2,15.86,197.0,6.21,3,10.57,325.0,10.25,3,10.57,6.67%,325.0,10.25,22,1.44,1,31.71,0,0,0,0,0,0,0.0,24,53.33%,0,0,0,0.0%,0.0,0,3,325.0,10.25
2026-05-22,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,1.55,69,11.59%,8,0.0,0.19,22.46,1.55,68,8,11.76%,0.19,22.79,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,4,0.39,2,0.78,0,0,1,0,0,1,1.55,4,50.0%,0,0,0,0.0%,0.0,0,0,0.0,0.0
2026-05-23,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,15.13,464,12.93%,60,0.0,0.25,32.61,15.13,464,60,12.93%,0.25,32.61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0%,0.0,0.0,12,1.26,6,2.52,1,0,1,0,0,2,7.57,10,16.67%,0,0,0,0.0%,0.0,0,0,0.0,0.0
