时间,笔记/素材ID,笔记/素材链接,笔记标题,消费,展现量,点击率,视频5s完播率,点击量,店铺新客支付金额,平均点击成本,平均千次展示费用,新客消耗,新客曝光,新客点击,新客点击率,新客平均点击成本,新客平均千次展示费用,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,商品1日支付订单量,商品1日支付订单成本,商品1日支付金额,商品1日支付ROI,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,首屏展现,首屏点击,首屏消耗,首屏展现占比,首屏点击占比,首屏消耗占比,7日支付转化率,店铺新客首购及30日复购支付订单量,店铺新客首购及30日复购支付金额,店铺新客首购及30日复购支付ROI
合计1157条记录,-,-,-,1271.61,32823,12.9%,0.0%,4233,7604.0,0.3,38.74,1258.57,32569,4209,12.92%,0.3,38.64,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,44,28.9,7069.0,5.56,48,26.49,7942.0,6.25,47,27.06,7604.0,5.98,8076,1516,535.83,24.87%,36.25%,42.31%,1.11%,47,7604.0,6.04
2026-05-17,692e4f1e000000001f007cb8,https://www.xiaohongshu.com/explore/692e4f1e000000001f007cb8?xsec_token=WBiGQg1u-W4V8sZsIn-llKe09K1sE-ezo3qmFqx-a6cDo=&xsec_source=pc_wind_export,在小红书上买到了整条三文鱼…,0.00,3,0.0%,0.0%,0,0.0,0.0,0.0,0.0,3,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,69456f51000000001f006a7b,https://www.xiaohongshu.com/explore/69456f51000000001f006a7b?xsec_token=WB3bh0BH5K0kc2Hl-bqScR0Ec40inVmS5JK1W8C8ixc9s=&xsec_source=pc_wind_export,其实，300块能吃一个月的三文鱼😎,24.54,659,12.9%,0.0%,85,0.0,0.29,37.24,24.54,656,85,12.96%,0.29,37.41,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,226,39,15.86,34.29%,45.88%,64.64%,0.0%,0,0.0,0.0
2026-05-17,69b91f54000000002800a745,https://www.xiaohongshu.com/explore/69b91f54000000002800a745?xsec_token=WBLvxvEeJzsnTuMSq7iu6mX_3g7dffoK8GGP0dMeGJVKw=&xsec_source=pc_wind_export,和老爹商量后，推出一人食小包装,0.17,65,15.38%,0.0%,10,0.0,0.02,2.62,0.17,65,10,15.38%,0.02,2.62,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18,3,0.03,27.69%,30.0%,19.41%,0.0%,0,0.0,0.0
2026-05-17,69c2acd60000000028008317,https://www.xiaohongshu.com/explore/69c2acd60000000028008317?xsec_token=WBzXHWDou8TL24WFO1UUnRMDBGYfi3xf-4dKjxM3hn9XE=&xsec_source=pc_wind_export,感谢315，让我家无添加虾仁又爆单了,10.02,273,16.48%,0.0%,45,128.0,0.22,36.7,10.02,273,45,16.48%,0.22,36.7,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,10.02,128.0,12.77,1,10.02,128.0,12.77,1,10.02,128.0,12.77,89,20,8.91,32.6%,44.44%,88.88%,2.22%,1,128.0,12.77
2026-05-17,69c353ba000000001e00cbc5,https://www.xiaohongshu.com/explore/69c353ba000000001e00cbc5?xsec_token=WBfSC_n371aK-FHrCOLsf__tK2mgz-fW902ywsMrT6rRE=&xsec_source=pc_wind_export,同事总说我天天吃虾仁也太奢侈了……,0.04,11,27.27%,0.0%,3,0.0,0.01,3.64,0.04,11,3,27.27%,0.01,3.64,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,3,0.04,63.64%,100.0%,100.0%,0.0%,0,0.0,0.0
2026-05-17,69c3a5ab00000000280097e2,https://www.xiaohongshu.com/explore/69c3a5ab00000000280097e2?xsec_token=WBfSC_n371aK-FHrCOLsf__q5JRo-w40k0Zp0v9zR9CTQ=&xsec_source=pc_wind_export,长期主义的三文鱼，真的没有平替。。。,0.82,25,16.0%,0.0%,4,0.0,0.21,32.8,0.82,25,4,16.0%,0.21,32.8,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,1,0.16,24.0%,25.0%,19.51%,0.0%,0,0.0,0.0
2026-05-17,69c4d7c300000000200387da,https://www.xiaohongshu.com/explore/69c4d7c300000000200387da?xsec_token=WBdSMwRhQgXYB0xSZvioQafvCSrOqsqcxByyPe4y62184=&xsec_source=pc_wind_export,真别低估了100来块的购买力，够吃半个月了,1.85,88,19.32%,0.0%,17,0.0,0.11,21.02,1.85,88,17,19.32%,0.11,21.02,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18,4,0.28,20.45%,23.53%,15.14%,0.0%,0,0.0,0.0
2026-05-17,69ca9180000000001f0062ef,https://www.xiaohongshu.com/explore/69ca9180000000001f0062ef?xsec_token=WB1qhXfPDTLqfSPf2C3hmRFRrYJr76N76flGVz2vRAOr0=&xsec_source=pc_wind_export,以为300多没多少，结果把整条三文鱼发来了,0.13,2,50.0%,0.0%,1,0.0,0.13,65.0,0.13,2,1,50.0%,0.13,65.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,69dbb9880000000022025a4f,https://www.xiaohongshu.com/explore/69dbb9880000000022025a4f?xsec_token=WBhc4mf568z6bxMhndg_EIpZQ7ucXbWy6OZVBkOd5Kwes=&xsec_source=pc_wind_export,跟爸妈商量好，推出整条三文鱼了,0.26,26,15.38%,0.0%,4,0.0,0.07,10.0,0.26,26,4,15.38%,0.07,10.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,1,0.12,23.08%,25.0%,46.15%,0.0%,0,0.0,0.0
