时间,计划名称,计划ID,消费,展现量,点击率,视频5s完播率,点击量,店铺新客支付金额,平均点击成本,平均千次展示费用,新客消耗,新客曝光,新客点击,新客点击率,新客平均点击成本,新客平均千次展示费用,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,商品1日支付订单量,商品1日支付订单成本,商品1日支付金额,商品1日支付ROI,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,首屏展现,首屏点击,首屏消耗,首屏展现占比,首屏点击占比,首屏消耗占比,7日支付转化率,店铺新客首购及30日复购支付订单量,店铺新客首购及30日复购支付金额,店铺新客首购及30日复购支付ROI
合计391条记录,-,-,1271.61,32823,12.9%,0.0%,4233,7604.0,0.3,38.74,1258.57,32569,4209,12.92%,0.3,38.64,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,44,28.9,7069.0,5.56,48,26.49,7942.0,6.25,47,27.06,7604.0,5.98,8076,1516,535.83,24.87%,36.25%,42.31%,1.11%,47,7604.0,6.04
2026-05-17,三文鱼搜索关键词,184817496,1.64,40,22.5%,0.0%,9,0.0,0.18,41.0,1.64,40,9,22.5%,0.18,41.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,4,0.71,37.5%,44.44%,43.29%,0.0%,0,0.0,0.0
2026-05-17,虾仁搜索,185525682,12.08,437,17.16%,0.0%,75,128.0,0.16,27.64,12.08,437,75,17.16%,0.16,27.64,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,12.08,128.0,10.6,1,12.08,128.0,10.6,1,12.08,128.0,10.6,132,30,9.26,30.21%,40.0%,76.66%,1.33%,1,128.0,10.6
2026-05-17,三文鱼搜索关键词_复制,186136724,0.22,41,7.32%,0.0%,3,0.0,0.07,5.37,0.22,41,3,7.32%,0.07,5.37,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,0,0.0,19.51%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,三文鱼爆款购买潜在需求,186737237,23.63,618,12.62%,0.0%,78,0.0,0.3,38.24,23.63,615,78,12.68%,0.3,38.42,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,212,36,15.31,34.3%,46.15%,64.81%,0.0%,0,0.0,0.0
2026-05-17,商品推广_日常销售_20260512_161811,193779913,0.04,7,14.29%,0.0%,1,0.0,0.04,5.71,0.04,7,1,14.29%,0.04,5.71,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,三文鱼,194400456,0.26,16,25.0%,0.0%,4,0.0,0.07,16.25,0.26,16,4,25.0%,0.07,16.25,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,1,0.12,18.75%,25.0%,46.15%,0.0%,0,0.0,0.0
2026-05-17,7日虾仁笔记_复制,195192732,0.00,2,0.0%,0.0%,0,0.0,0.0,0.0,0.0,2,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,50.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,7日虾仁笔记,195198387,3.68,72,18.06%,0.0%,13,0.0,0.28,51.11,3.68,72,13,18.06%,0.28,51.11,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,5,1.4,15.28%,38.46%,38.04%,0.0%,0,0.0,0.0
2026-05-18,三文鱼搜索关键词,184817496,0.48,31,12.9%,0.0%,4,0.0,0.12,15.48,0.48,29,4,13.79%,0.12,16.55,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,3,0.44,35.48%,75.0%,91.71%,0.0%,0,0.0,0.0
