时间,消费,展现量,点击率,视频5s完播率,点击量,店铺新客支付金额,平均点击成本,平均千次展示费用,新客消耗,新客曝光,新客点击,新客点击率,新客平均点击成本,新客平均千次展示费用,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,商品1日支付订单量,商品1日支付订单成本,商品1日支付金额,商品1日支付ROI,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,首屏展现,首屏点击,首屏消耗,首屏展现占比,首屏点击占比,首屏消耗占比,7日支付转化率,店铺新客首购及30日复购支付订单量,店铺新客首购及30日复购支付金额,店铺新客首购及30日复购支付ROI
合计30条记录,1271.61,32823,12.9%,0.0%,4233,7604.0,0.3,38.74,1258.57,32569,4209,12.92%,0.3,38.64,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,44,28.9,7069.0,5.56,48,26.49,7942.0,6.25,47,27.06,7604.0,5.98,8076,1516,535.83,24.87%,36.25%,42.31%,1.11%,47,7604.0,6.04
2026-05-17,41.55,1233,14.84%,0.0%,183,128.0,0.23,33.7,41.55,1230,183,14.88%,0.23,33.78,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,41.55,128.0,3.08,1,41.55,128.0,3.08,1,41.55,128.0,3.08,382,76,26.8,30.98%,41.53%,64.51%,0.55%,1,128.0,3.08
2026-05-18,35.59,1307,15.53%,0.0%,203,206.0,0.18,27.23,35.59,1300,203,15.62%,0.18,27.38,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,2,17.8,137.0,3.85,3,11.86,206.0,5.79,3,11.86,206.0,5.79,393,89,13.83,30.07%,43.84%,38.87%,1.48%,3,206.0,5.79
2026-05-19,76.93,1254,16.83%,0.0%,211,933.0,0.36,61.35,76.69,1246,210,16.85%,0.37,61.55,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,4,19.23,933.0,12.13,4,19.23,933.0,12.13,4,19.23,933.0,12.13,394,95,27.01,31.42%,45.02%,35.11%,1.9%,4,933.0,12.17
2026-05-20,61.61,1403,14.26%,0.0%,200,315.0,0.31,43.91,60.07,1392,197,14.15%,0.3,43.15,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,3,20.54,315.0,5.11,3,20.54,315.0,5.11,3,20.54,315.0,5.11,417,84,32.6,29.72%,42.0%,52.91%,1.5%,3,315.0,5.24
2026-05-21,69.20,1482,14.64%,0.0%,217,378.0,0.32,46.69,65.53,1470,216,14.69%,0.3,44.58,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,69.2,378.0,5.46,1,69.2,378.0,5.46,1,69.2,378.0,5.46,434,94,46.81,29.28%,43.32%,67.65%,0.46%,1,378.0,5.77
2026-05-22,56.65,940,14.47%,0.0%,136,325.0,0.42,60.27,56.65,936,136,14.53%,0.42,60.52,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,2,28.33,197.0,3.48,3,18.88,325.0,5.74,3,18.88,325.0,5.74,272,54,21.72,28.94%,39.71%,38.34%,2.21%,3,325.0,5.74
2026-05-23,22.00,708,13.56%,0.0%,96,0.0,0.23,31.07,22.0,707,96,13.58%,0.23,31.12,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,242,41,12.92,34.18%,42.71%,58.72%,0.0%,0,0.0,0.0
2026-05-24,28.45,689,15.53%,0.0%,107,0.0,0.27,41.29,28.45,687,107,15.57%,0.27,41.41,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,209,39,14.74,30.33%,36.45%,51.8%,0.0%,0,0.0,0.0
2026-05-25,25.23,674,14.99%,0.0%,101,0.0,0.25,37.43,25.23,670,101,15.07%,0.25,37.66,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,188,45,12.34,27.89%,44.55%,48.91%,0.0%,0,0.0,0.0
